360,1776542302780,883539968,1327923200,1135677048,28591967,24532673,1135677288,1327923200,28591967,8421480,8990720,1324023808
361,1776542303280,883687424,1327923200,1137390960,28593377,24534083,1137391200,1327923200,28593377,8421480,8990720,1324023808
362,1776542303781,883687424,1327923200,1138368224,28601969,24542675,1138368464,1327923200,28601969,8421480,8990720,1324023808
363,1776542304282,884637696,1327923200,1139845848,28630589,24571295,1139846088,1327923200,28630589,8421480,8990720,1324023808
364,1776542304783,884686848,1327923200,1140913504,28631241,24571947,1140913744,1327923200,28631241,8421480,8990720,1324023808
365,1776542305284,884768768,1327923200,1141943280,28631923,24572629,1141943520,1327923200,28631923,8421480,8990720,1324023808
366,1776542305785,884768768,1327923200,1142871000,28632323,24573029,1142871240,1327923200,28632323,8421480,8990720,1324023808
367,1776542306286,891928576,1327923200,1135728192,28603498,24544204,1135728432,1327923200,28603498,8421480,8990720,1324056576
368,1776542306787,891944960,1327923200,1136683264,28603898,24544604,1136683504,1327923200,28603898,8421480,8990720,1324056576
369,1776542307287,892026880,1327923200,1137728120,28606328,24547034,1137728360,1327923200,28606328,8421480,8990720,1324056576
370,1776542307787,892272640,1327923200,1139008280,28607852,24548558,1139008520,1327923200,28607852,8421480,8990720,1324056576
371,1776542308288,892272640,1327923200,1140009304,28608252,24548958,1140009544,1327923200,28608252,8421480,8990720,1324056576
372,1776542308789,892272640,1327923200,1140895984,28608652,24549358,1140896224,1327923200,28608652,8421480,8990720,1324056576
373,1776542309289,892387328,1327923200,1142566232,28610062,24550768,1142566472,1327923200,28610062,8421480,8990720,1324056576
374,1776542309789,892387328,1327923200,1143520032,28610462,24551168,1143520272,1327923200,28610462,8421480,8990720,1324056576
375,1776542310289,892436480,1327923200,1144553200,28611144,24551850,1144553440,1327923200,28611144,8421480,8990720,1324056576
376,1776542310791,892452864,1327923200,1145480864,28611544,24552250,1145481104,1327923200,28611544,8421480,8990720,1324056576
377,1776542311292,898400256,1327923200,1133729136,28591674,24532380,1133729376,1327923200,28591674,8421480,8990720,1324056576
378,1776542311792,898400256,1327923200,1134693984,28592074,24532780,1134694224,1327923200,28592074,8421480,8990720,1324056576
379,1776542312293,899727360,1327923200,1138399040,28608333,24549039,1138399280,1327923200,28608333,8421480,8990720,1324056576
380,1776542312794,900366336,1327923200,1140288520,28613222,24553928,1140288760,1327923200,28613222,8421480,8990720,1324056576
381,1776542313295,900399104,1327923200,1141338264,28614768,24555474,1141338504,1327923200,28614768,8421480,8990720,1324056576
382,1776542313795,900399104,1327923200,1142261144,28615168,24555874,1142261384,1327923200,28615168,8421480,8990720,1324056576
