Type of access,API,file path,Team owner
AsCurrentUser,Eql.search,search,x-pack/platform/plugins/shared/alerting/server/lib/wrap_scoped_cluster_client.ts,elastic/response-ops
AsCurrentUser,Eql.search,search,x-pack/platform/plugins/shared/alerting/server/lib/wrap_scoped_cluster_client.test.ts,elastic/response-ops
AsInternal,search,search,x-pack/platform/plugins/shared/alerting/server/lib/wrap_scoped_cluster_client.test.ts,elastic/response-ops
AsInternal,Eql.search,search,x-pack/platform/plugins/shared/alerting/server/lib/wrap_scoped_cluster_client.test.ts,elastic/response-ops
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/apm/server/utils/create_typed_es_client.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/apm/server/routes/alerts/alerting_es_client.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/apm/server/lib/helpers/create_es_client/create_entities_es_client/create_entities_es_client.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/apm/server/lib/helpers/create_es_client/create_internal_es_client/index.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/apm/server/routes/source_maps/schedule_source_map_migration.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/apm/server/lib/helpers/create_es_client/create_infra_metrics_client/create_infra_metrics_client.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/apm/server/routes/services/annotations/get_stored_annotations.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/apm/server/routes/alerts/rule_types/anomaly/register_anomaly_rule_type.test.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,msearch,msearch,x-pack/solutions/observability/plugins/apm/server/lib/helpers/create_es_client/create_entities_es_client/create_entities_es_client.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,fieldCaps,fieldCaps,x-pack/solutions/observability/plugins/apm/server/routes/diagnostics/bundle/get_field_caps.ts,elastic/obs-ux-infra_services-team
AsInternal,search,search,x-pack/solutions/observability/plugins/apm/server/lib/apm_telemetry/telemetry_client.ts,elastic/obs-ux-infra_services-team
AsInternal,fieldCaps,fieldCaps,x-pack/solutions/observability/plugins/apm/server/lib/apm_telemetry/telemetry_client.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/apm_data_access/server/lib/helpers/create_es_client/create_apm_event_client/index.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,search,search,x-pack/solutions/observability/plugins/apm_data_access/server/lib/helpers/create_es_client/create_apm_event_client/index.test.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,msearch,msearch,x-pack/solutions/observability/plugins/apm_data_access/server/lib/helpers/create_es_client/create_apm_event_client/index.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,msearch,msearch,x-pack/solutions/observability/plugins/apm_data_access/server/lib/helpers/create_es_client/create_apm_event_client/index.test.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,fieldCaps,fieldCaps,x-pack/solutions/observability/plugins/apm_data_access/server/lib/helpers/create_es_client/create_apm_event_client/index.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,fieldCaps,fieldCaps,x-pack/solutions/observability/plugins/apm_data_access/server/lib/helpers/create_es_client/create_apm_event_client/index.test.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,Eql.search,search,x-pack/solutions/observability/plugins/apm_data_access/server/lib/helpers/create_es_client/create_apm_event_client/index.ts,elastic/obs-ux-infra_services-team
AsCurrentUser,search,search,x-pack/platform/plugins/private/canvas/server/collectors/workpad_collector.ts,elastic/kibana-presentation
AsCurrentUser,search,search,x-pack/platform/plugins/private/canvas/server/collectors/custom_element_collector.ts,elastic/kibana-presentation
AsCurrentUser,search,search,x-pack/platform/plugins/shared/cases/server/services/alerts/index.ts,elastic/response-ops
AsCurrentUser,search,search,x-pack/solutions/security/plugins/cloud_security_posture/server/routes/compliance_dashboard/get_grouped_findings_evaluation.ts,elastic/kibana-cloud-security-posture
AsCurrentUser,search,search,x-pack/solutions/security/plugins/cloud_security_posture/server/routes/compliance_dashboard/get_stats.ts,elastic/kibana-cloud-security-posture
AsCurrentUser,search,search,x-pack/solutions/security/plugins/cloud_security_posture/server/routes/compliance_dashboard/get_clusters.ts,elastic/kibana-cloud-security-posture
AsCurrentUser,search,search,x-pack/solutions/security/plugins/cloud_security_posture/server/routes/compliance_dashboard/get_trends.ts,elastic/kibana-cloud-security-posture
AsCurrentUser,search,search,x-pack/solutions/security/plugins/cloud_security_posture/server/routes/compliance_dashboard/get_benchmarks.ts,elastic/kibana-cloud-security-posture
AsCurrentUser,search,search,x-pack/solutions/security/plugins/cloud_security_posture/server/routes/vulnerabilities_dashboard/get_vulnerabilities_trend.ts,elastic/kibana-cloud-security-posture
AsCurrentUser,search,search,x-pack/solutions/security/plugins/cloud_security_posture/server/routes/vulnerabilities_dashboard/get_vulnerabilities_statistics.ts,elastic/kibana-cloud-security-posture
AsCurrentUser,search,search,x-pack/solutions/security/plugins/cloud_security_posture/server/routes/vulnerabilities_dashboard/get_top_vulnerable_resources.ts,elastic/kibana-cloud-security-posture
AsCurrentUser,search,search,x-pack/solutions/security/plugins/cloud_security_posture/server/routes/vulnerabilities_dashboard/get_top_patchable_vulnerabilities.ts,elastic/kibana-cloud-security-posture
AsCurrentUser,search,search,x-pack/solutions/security/plugins/cloud_security_posture/server/routes/vulnerabilities_dashboard/get_top_vulnerabilities.ts,elastic/kibana-cloud-security-posture
AsCurrentUser,search,search,x-pack/platform/plugins/shared/content_connectors/server/lib/indices/generate_api_key.ts,elastic/search-kibana
AsCurrentUser,search,search,x-pack/platform/plugins/shared/content_connectors/server/lib/stats/get_sync_jobs.ts,elastic/search-kibana
AsCurrentUser,count,count,x-pack/platform/plugins/shared/content_connectors/server/lib/indices/fetch_index_counts.ts,elastic/search-kibana
AsCurrentUser,count,count,x-pack/platform/plugins/shared/content_connectors/server/lib/indices/fetch_index.ts,elastic/search-kibana
AsCurrentUser,count,count,x-pack/platform/plugins/shared/content_connectors/server/lib/stats/get_sync_jobs.ts,elastic/search-kibana
AsCurrentUser,search,search,src/platform/plugins/shared/controls/server/options_list/options_list_suggestions_route.ts,elastic/kibana-presentation
AsInternal,search,search,src/platform/plugins/shared/dashboard/server/usage/dashboard_telemetry_collection_task.ts,elastic/kibana-presentation
AsCurrentUser,search,search,src/platform/plugins/shared/data/server/search/collectors/search/fetch.ts,elastic/kibana-visualizations,elastic/kibana-data-discovery
AsCurrentUser,search,search,src/platform/plugins/shared/data/server/search/strategies/es_search/es_search_strategy.ts,elastic/kibana-visualizations,elastic/kibana-data-discovery
AsCurrentUser,search,search,src/platform/plugins/shared/data/server/search/collectors/search_session/fetch.ts,elastic/kibana-visualizations,elastic/kibana-data-discovery
AsCurrentUser,search,search,src/platform/plugins/shared/data/server/kql_telemetry/usage_collector/fetch.ts,elastic/kibana-visualizations,elastic/kibana-data-discovery
AsCurrentUser,search,search,src/platform/plugins/shared/data/server/search/collectors/search_session/fetch.test.ts,elastic/kibana-visualizations,elastic/kibana-data-discovery
AsCurrentUser,search,search,src/platform/plugins/shared/data/server/search/strategies/es_search/es_search_strategy.test.ts,elastic/kibana-visualizations,elastic/kibana-data-discovery
AsCurrentUser,asyncSearch,asyncSearch,src/platform/plugins/shared/data/server/search/session/get_search_status.ts,elastic/kibana-visualizations,elastic/kibana-data-discovery
AsCurrentUser,asyncSearch,asyncSearch,src/platform/plugins/shared/data/server/search/strategies/ese_search/ese_search_strategy.ts,elastic/kibana-visualizations,elastic/kibana-data-discovery
AsCurrentUser,asyncSearch,asyncSearch,src/platform/plugins/shared/data/server/search/session/get_session_status.test.ts,elastic/kibana-visualizations,elastic/kibana-data-discovery
