avladdress,avlairtemp,avlblast,avldirection,avldryrate,avllatitudedd,avlliquidrate,avllongitudedd,avlplowstatus,avlsecond,avlvehname,avlvehtype,avlvelocity,kytcadtlastcnt,kytcadtlastcntyr,kytccitytxt,kytccountyname,kytccountynmbr,kytcdaacapturetimeutc,kytcdateexistset,kytcdateexistsutc,kytcdistrict,kytcfunctionalclass,kytcgovleveltxt,kytchouret,kytclatddrdsnap,kytclongddrdsnap,kytcminuteet,kytcmpinitial,kytcrdnamekytcroadid,kytcroute,kytcroutelbl,kytcroutetype,kytcrtnumber,kytcrtprefix,kytcrtsection,kytcrtsuffix,kytcrtuniqueinitial,kytcsnapdistanceonline,kytcsnapdistancetoline,kytcsnapheadingradians,kytcsnappercentalong,kytcsnapprobability,kytcsnapstatus,kytcsnwicepriority,kytctypeop,kytcweekdaytxtet,kytcyeardayet,kytcdryratecalc,kytcliquidratecalc,kytcdryratecalccost,kytcliquidratecalccost,kytcyearet,kytcmonthet,kytcdayet
3523019,0.0,0,67,0.0,37.27867,0.0,-83.23475,1,45,Kentucky Perry 627 DJ,Combo DJ,6,532.0,2016.0,Hazard,Perry,97.0,2018-01-01 16:30:30,2018-01-01 09:58:45,2018-01-01 14:58:45,10.0,Local,State Maintained Roads,9,37.27867600295641,-83.23474958949122,58,0.08966788807224858,INDUSTRIAL DR,KY-3677,KY-3677,KY,3677.0,KY,0.0,,097-KY-3677  -000,0.08966788807338122,0.6672193269093758,0.40142572795869574,94.38725060236692,0.8702409573981801,Yes,U,2,Monday,1,0.0,0.0,0.0,0.0,2018,1,1
3523019,0.0,0,138,0.0,37.27874,0.0,-83.23531,1,32,Kentucky Perry 627 DJ,Combo DJ,6,532.0,2016.0,Hazard,Perry,97.0,2018-01-01 16:30:30,2018-01-01 09:58:32,2018-01-01 14:58:32,10.0,Local,State Maintained Roads,9,37.278714445815325,-83.2353117475085,58,0.05840787498262997,INDUSTRIAL DR,KY-3677,KY-3677,KY,3677.0,KY,0.0,,097-KY-3677  -000,0.058407874983367754,2.840308147316057,-0.8377580409572781,61.48197366592628,0.6446816727922783,Yes,U,2,Monday,1,0.0,0.0,0.0,0.0,2018,1,1
3523019,0.0,0,282,0.0,37.2801,0.0,-83.23527,1,50,Kentucky Perry 627 DJ,Combo DJ,0,\N,\N,\N,\N,\N,2018-01-01 16:30:30,2018-01-01 09:53:50,2018-01-01 14:53:50,\N,\N,\N,9,\N,\N,53,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,No,\N,\N,Monday,1,0.0,0.0,0.0,0.0,2018,1,1
3523019,0.0,0,152,0.0,37.27181,0.0,-83.20963,1,16,Kentucky Perry 627 DJ,Combo DJ,31,23887.0,2015.0,Hazard,Perry,97.0,2018-01-01 16:30:30,2018-01-01 11:30:16,2018-01-01 16:30:16,10.0,Principal Arterial - Other,State Maintained Roads,11,37.27180678775053,-83.2096346124984,30,13.807330941593579,N KENTUCKY HIGHWAY 15 NC,KY-15,KY-15,KY,15.0,KY,10.0,,097-KY-0015  -010,0.530669058406422,0.5426400397399832,-1.0821041362364843,95.96185504636924,0.9705303649229171,Yes,A,D,Monday,1,0.0,0.0,0.0,0.0,2018,1,1
3523019,0.0,0,86,0.0,37.28014,0.0,-83.23509,1,34,Kentucky Perry 627 DJ,Combo DJ,3,\N,\N,\N,\N,\N,2018-01-01 16:30:30,2018-01-01 09:53:34,2018-01-01 14:53:34,\N,\N,\N,9,\N,\N,53,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,No,\N,\N,Monday,1,0.0,0.0,0.0,0.0,2018,1,1
3523019,0.0,0,280,0.0,37.28007,0.0,-83.23518,1,41,Kentucky Perry 627 DJ,Combo DJ,1,\N,\N,\N,\N,\N,2018-01-01 16:30:30,2018-01-01 09:53:41,2018-01-01 14:53:41,\N,\N,\N,9,\N,\N,53,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,No,\N,\N,Monday,1,0.0,0.0,0.0,0.0,2018,1,1
3523019,0.0,0,304,0.0,37.39683,0.0,-83.27002,1,22,Kentucky Perry 627 DJ,Combo DJ,0,\N,\N,\N,\N,\N,2018-01-01 16:36:30,2018-01-01 10:29:22,2018-01-01 15:29:22,\N,\N,\N,10,\N,\N,29,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,No,\N,\N,Monday,1,0.0,0.0,0.0,0.0,2018,1,1
